Curriculum,Music Musicology Ethnomusicology and Theory Emphasis
Degree Plan,2019-20 Degree Plan
Degree Type,BS
System Type,semester
CIP
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,First-Year Composition,ENGL,101,,,,3,,,1
2,MATH,,,,,,3,,,1
3,Musical Skills and Structure I,MUS,120A,,,,3,,,1
4,Piano Class,MUS,110A,,,,1,,,1
5,Introduction to Music Literature,MUS,130A,,,,2,,,1
6,Second Language,,,,,,4,,,1
7,Tier I General Education,,,,,,3,,,1
8,First-Year Composition,ENGL,102,,,,3,,,2
9,Tier I General Education,,,,,,3,,,2
10,Musical Skills and Structure I,MUS,120B,,,,3,,,2
11,Piano Class,MUS,110B,,,,1,,,2
12,Introduction to Music Literature,MUS,130B,,,,2,,,2
13,Second Language,,,,,,4,,,2
14,Tier I General Education,,,,,,3,,,2
15,Tier I General Education,,,,,,3,,,3
16,Tier I General Education,,,,,,3,,,3
17,Tier I General Education,,,,,,3,,,3
18,Musical Skills and Structure II,MUS,220A,,,,3,,,3
19,Second Language,,,,,,4,,,3
20,Tier II General Education,,,,,,3,,,4
21,Tier II General Education,,,,,,3,,,4
22,Musical Skills and Structure II,MUS,220B,,,,3,,,4
23,MET Additional Units,,,,,,3,,,4
24,Second Language,,,,,,4,,,4
25,MET Additional Units,,,,,,3,,,5
26,MET Additional Units,,,,,,3,,,5
27,MET Additional Units,,,,,,3,,,5
28,History of Western Music,MUS,330A,,,,3,,,5
29,History of Western Music,MUS,330B,,,,3,,,6
30,Tier II General Education,,,,,,3,,,6
31,Literature Requirement,,,,,,3,,,6
32,MET Additional Units,,,,,,3,,,6
33,MET Additional Units,,,,,,3,,,6
34,Minor Course,,,,,,3,,,7
35,Minor Course,,,,,,3,,,7
36,Minor Course,,,,,,3,,,7
37,Ensemble/Private Instruction,,,,,,2,,,7
38,Ensemble/Private Instruction,,,,,,1,,,7
39,Minor Course,,,,,,3,,,8
40,Minor Course,,,,,,3,,,8
41,Minor Course,,,,,,3,,,8
42,MET Additional Units,,,,,,3,,,8
43,MET Additional Units,,,,,,3,,,8
