Curriculum,Political Science American Politics Emphasis
Degree Plan,2019-20 Degree Plan
Degree Type,BS
System Type,semester
CIP
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,First-Year Composition,ENGL,101,,,,3,,,1
2,First Semester Second Language,,,,,,4,,,1
3,Tier I General Education,,,,,,3,,,1
4,Tier I General Education,,,,,,3,,,1
5,Tier I General Education,,,,,,3,,,1
6,First-Year Composition,ENGL,102,,,,3,,,2
7,Second Semester Second Language,,,,,,4,,,2
8,Exploring and Understanding Data,MATH,107,,,,3,,,2
9,Tier I General Education,,,,,,3,,,2
10,Tier II General Education,,,,,,3,,,2
11,Third Semester Second Language,,,,,,4,,,3
12,Introduction to Statistics for the Social Sciences,POL,200,,,,3,,,3
13,Tier I General Education,,,,,,3,,,3
14,POL Core Course,POL,,,,,3,,,3
15,Tier II General Education,,,,,,3,,,3
16,Fourth Semester Second Language,,,,,,4,,,4
17,Tier I General Education,,,,,,3,,,4
18,POL Core Course,POL,,,,,3,,,4
19,Minor Course,,,,,,3,,,4
20,Elective,,,,,,3,,,4
21,American National Government,POL,201,,,,3,,,5
22,"Politics, Policy, and Governance: The U.S. and the World (Part B)",SGPP,300B,,,,3,,,5
23,Tier II General Education,,,,,,3,,,5
24,Basic Economic Issues,ECON,200,,,,3,,,5
25,Minor Course,,,,,,3,,,5
26,"Politics, Policy and Governance: The U.S. and the World",SGPP,300A,,,,3,,,6
27,American Concentration Course,,,,,,3,,,6
28,Minor Course,,,,,,3,,,6
29,Minor Course,,,,,,3,,,6
30,Elective-Upper Division,,,,,,3,,,6
31,American Concentration Course,,,,,,3,,,7
32,American Concentration Course,,,,,,3,,,7
33,Minor Course,,,,,,3,,,7
34,American Concentration Course,,,,,,3,,,7
35,Elective-Upper Division,,,,,,3,,,7
36,SGPP Elective-Upper Division,SGPP,,,,,3,,,8
37,SGPP Elective-Upper Division,SGPP,,,,,3,,,8
38,Minor Course,,,,,,3,,,8
39,Elective-Upper Division,,,,,,3,,,8
